sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,target_position,position_error_direction,position_error_ticks,estimated_position_minus,estimated_position_plus,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.102645,1780561828,378550744,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
1,0.204520,1780561828,480740574,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
2,0.301980,1780561828,578109550,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
3,0.869885,1780561829,146102486,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
4,1.338927,1780561829,615284236,True,False,0,0,0x0000,0,0,-2,-2,0,2,False,0,2,2,False,1755,0,12.100,32,
5,1.414589,1780561829,690814002,True,False,2,2,0x0002,2,2,2,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
6,1.434784,1780561829,711209264,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
7,1.500018,1780561829,776374521,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
8,1.603294,1780561829,879964910,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
9,1.702542,1780561829,978979116,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
10,1.804355,1780561830,80803787,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
11,1.900553,1780561830,176921188,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,0,12.100,32,
12,2.002384,1780561830,278269557,True,False,2,2,0x0002,2,2,0,0,0,1755,False,2,1753,1757,False,1048,1,12.100,32,
13,2.104606,1780561830,380795957,True,False,162,162,0x00A2,162,162,160,160,0,1755,False,162,1593,1917,True,1048,0,12.100,32,
14,2.201422,1780561830,477711927,True,False,155,155,0x009B,155,155,-7,153,0,1769,False,155,1614,1924,True,1104,1,12.100,32,
15,2.300820,1780561830,577233270,True,False,136,136,0x0088,136,136,-19,134,0,1789,False,136,1653,1925,True,1104,0,12.100,32,
16,2.401317,1780561830,677680781,True,False,116,116,0x0074,116,116,-20,114,0,1809,False,116,1693,1925,True,1104,1,12.100,32,
17,2.559123,1780561830,834928346,True,False,94,94,0x005E,94,94,-22,92,0,1832,False,94,1738,1926,True,1104,2,12.100,32,
