sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.125561,1780556536,111728973,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
1,0.290147,1780556536,276138304,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
2,0.916838,1780556536,903140430,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
3,1.142627,1780556537,128680105,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
4,1.206503,1780556537,192548715,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
5,1.231667,1780556537,217695155,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
6,1.324891,1780556537,311307902,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
7,1.424002,1780556537,410333804,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
8,1.524278,1780556537,510181356,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
9,1.622633,1780556537,609008595,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
10,1.727361,1780556537,713674124,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
11,1.823489,1780556537,809909837,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
12,1.924604,1780556537,910909545,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
13,2.024354,1780556538,10596699,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
14,2.124420,1780556538,110776263,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
15,2.226925,1780556538,213172051,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
16,3.105011,1780556539,91119564,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,0,12.100,35,
17,3.206776,1780556539,193253640,True,False,32771,32771,0x8003,3,-32765,0,0,0,False,32,1,12.100,35,
18,3.238474,1780556539,224529546,True,False,17,17,0x0011,17,17,14,14,0,True,32,0,12.100,35,
19,3.247777,1780556539,234060637,True,False,17,17,0x0011,17,17,0,14,0,True,32,0,12.100,35,
20,3.326997,1780556539,313173333,True,False,17,17,0x0011,17,17,0,14,0,True,1120,2,12.100,35,
21,3.424143,1780556539,410530277,True,False,3,3,0x0003,3,3,-14,0,0,True,1052,0,12.100,35,
22,3.525080,1780556539,511302420,True,False,2,2,0x0002,2,2,-1,-1,0,False,1048,0,12.100,35,
23,3.626205,1780556539,612359081,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,1,12.100,35,
24,3.724270,1780556539,710597776,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
25,3.828388,1780556539,814701657,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
26,3.926756,1780556539,912901360,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
27,4.030111,1780556540,15892904,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
28,4.125881,1780556540,112090422,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,1,12.100,35,
29,4.226911,1780556540,213153221,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
30,4.988220,1780556540,974446509,True,False,22,22,0x0016,22,22,20,19,0,False,1048,0,12.100,35,
31,5.182059,1780556541,168244203,True,False,2,2,0x0002,2,2,-20,-1,0,False,1048,0,12.100,35,
32,5.197188,1780556541,183518910,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
33,5.226462,1780556541,212375609,True,False,22,22,0x0016,22,22,20,19,0,True,1048,0,12.100,35,
34,5.327179,1780556541,313451210,True,False,14,14,0x000E,14,14,-8,11,0,True,1092,0,12.100,35,
35,5.426296,1780556541,412163489,True,False,2,2,0x0002,2,2,-12,-1,0,True,0,0,12.100,35,
36,5.525814,1780556541,511746579,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
37,5.624508,1780556541,610739319,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,1,12.100,35,
38,5.729997,1780556541,715993894,True,False,21,21,0x0015,21,21,19,18,0,True,1104,1,12.100,35,
39,5.823986,1780556541,810234637,True,False,5,5,0x0005,5,5,-16,2,0,True,1060,0,12.100,35,
40,5.924724,1780556541,910992358,True,False,2,2,0x0002,2,2,-3,-1,0,False,1048,0,12.100,35,
41,6.024765,1780556542,11188553,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
42,6.126279,1780556542,112725316,True,False,2,2,0x0002,2,2,0,-1,0,False,1048,0,12.100,35,
43,6.291423,1780556542,276935804,True,False,22,22,0x0016,22,22,20,19,0,True,1100,0,12.100,35,
44,6.431934,1780556542,417903715,True,False,4,4,0x0004,4,4,-18,1,0,False,1044,0,12.100,35,
45,6.469298,1780556542,455196132,True,False,2,2,0x0002,2,2,-2,-1,0,False,1048,0,12.100,35,
46,6.562176,1780556542,548392843,True,False,22,22,0x0016,22,22,20,19,0,True,1048,1,12.100,35,
47,6.648060,1780556542,634185253,True,False,16,16,0x0010,16,16,-6,13,0,True,1100,1,12.100,35,
