sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.057662,1780556834,137053488,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
1,0.119558,1780556834,199020597,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
2,0.220836,1780556834,300314294,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
3,0.320246,1780556834,399883887,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
4,0.419549,1780556834,498892836,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
5,0.519485,1780556834,599074194,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
6,0.620364,1780556834,699846362,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
7,0.722014,1780556834,801333271,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
8,0.819828,1780556834,899330006,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
9,0.919421,1780556834,998925884,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
10,1.021007,1780556835,100457780,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
11,1.170430,1780556835,249936565,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
12,1.254015,1780556835,333639634,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
13,1.350517,1780556835,430002399,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
14,1.454703,1780556835,534447512,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
15,1.591958,1780556835,671045401,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,33,
16,1.709555,1780556835,788966752,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
17,1.954192,1780556836,33630517,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
18,1.980048,1780556836,59593768,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
19,2.024515,1780556836,103889093,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
20,2.122309,1780556836,201777237,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
21,2.219930,1780556836,299550135,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
22,2.321779,1780556836,400878874,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
23,2.420209,1780556836,499729922,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
24,2.521734,1780556836,600952731,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
25,2.623570,1780556836,703184806,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
26,2.721880,1780556836,800915044,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
27,2.819331,1780556836,898818805,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
28,2.920094,1780556836,999661192,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
29,3.021169,1780556837,100466441,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
30,3.140463,1780556837,219922002,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
31,3.234583,1780556837,314019155,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
32,3.328333,1780556837,407811171,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
33,3.571670,1780556837,651274942,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
34,3.857719,1780556837,937284856,True,False,32769,32769,0x8001,1,-32767,0,0,0,False,0,0,12.100,34,
