sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,target_position,position_error_direction,position_error_ticks,estimated_position_minus,estimated_position_plus,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.109191,1780562821,703411584,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
1,0.202296,1780562821,796496797,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
2,0.358987,1780562821,953569112,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
3,0.424584,1780562822,19078308,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
4,0.591202,1780562822,185719646,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
5,0.958699,1780562822,553237535,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
6,1.037742,1780562822,632248615,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
7,1.071439,1780562822,665964136,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
8,1.089392,1780562822,683971553,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
9,1.184431,1780562822,778910587,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,1,12.100,33,
10,1.287203,1780562822,881761119,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
11,1.382004,1780562822,976782357,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
12,1.483004,1780562823,77615781,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
13,1.582490,1780562823,176943849,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
14,1.682458,1780562823,277093912,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
15,1.785957,1780562823,380581324,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
16,1.884819,1780562823,479685345,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
17,1.984726,1780562823,579395351,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
18,2.087834,1780562823,682453281,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
19,2.279276,1780562823,873614888,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
20,2.727410,1780562824,321729943,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
21,3.046652,1780562824,640913165,True,False,32770,32770,0x8002,2,-32766,0,0,0,955,True,2,953,957,False,24,0,12.100,34,
